Titulo;Descripcion;Categoria;latitud;longitud;fecha_hecho
13075;RUTA PROVINCIAL 7;Colisión vehículo-vehículo;-39;-68;5/1/2017
13075;RUTA PROVINCIAL 7;Colisión vehículo-vehículo;-39;-68;5/1/2017
13076;PICUN LEUFU;Colisión vehículo-vehículo;-39;-68;27/1/2017
13076;PICUN LEUFU;Colisión vehículo-vehículo;-39;-68;27/1/2017
13076;PICUN LEUFU;Colisión vehículo-vehículo;-39;-68;27/1/2017
13077;RUTA PROVINCIAL 17;Vuelco-Despistes;-39;-69;20/1/2017
13077;RUTA PROVINCIAL 17;Vuelco-Despistes;-39;-69;20/1/2017
13078;PERNISEK;Otro;-39;-69;24/1/2017
13078;PERNISEK;Otro;-39;-69;24/1/2017
13087;RUTA NACIONAL N° 50;Colisión vehículo-persona;;;1/1/2017
13087;RUTA NACIONAL N° 50;Colisión vehículo-persona;;;1/1/2017
13088;RUTA NACIONAL 9/34;Colisión vehículo-vehículo;-25;-65;5/1/2017
13088;RUTA NACIONAL 9/34;Colisión vehículo-vehículo;-25;-65;5/1/2017
13089;CALLE ALBERDI;Colisión vehículo-persona;-25;-65;2/1/2017
13089;CALLE ALBERDI;Colisión vehículo-persona;-25;-65;2/1/2017
13090;RUTA NACIONAL 9/34;Colisión vehículo-vehículo;-26;-65;10/1/2017
13090;RUTA NACIONAL 9/34;Colisión vehículo-vehículo;-26;-65;10/1/2017
13091;RUTA NACIONAL N° 40;Colisión vehículo-vehículo;;;14/1/2017
13091;RUTA NACIONAL N° 40;Colisión vehículo-vehículo;;;14/1/2017
13092;RUTA NACIONAL N° 34;Colisión vehículo-vehículo;-23;-64;15/1/2017
13092;RUTA NACIONAL N° 34;Colisión vehículo-vehículo;-23;-64;15/1/2017
13093;EX COMBATIENTES DE MALVINAS;Colisión vehículo-vehículo;-25;-65;16/1/2017
13093;EX COMBATIENTES DE MALVINAS;Colisión vehículo-vehículo;-25;-65;16/1/2017
13094;RUTA NACIONAL 9/34;Colisión vehículo-vehículo;-26;-65;16/1/2017
13094;RUTA NACIONAL 9/34;Colisión vehículo-vehículo;-26;-65;16/1/2017
13094;RUTA NACIONAL 9/34;Colisión vehículo-vehículo;-26;-65;16/1/2017
13095;CALLE 24 DE SETIEMBRE;Colisión vehículo-vehículo;-23;-64;20/1/2017
13095;CALLE 24 DE SETIEMBRE;Colisión vehículo-vehículo;-23;-64;20/1/2017
13096;RUTA NACIONAL 16;Colisión vehículo-vehículo;-25;-64;23/1/2017
13096;RUTA NACIONAL 16;Colisión vehículo-vehículo;-25;-64;23/1/2017
13097;RUTA NACIONAL N° 34;Colisión vehículo-vehículo;;;25/1/2017
13097;RUTA NACIONAL N° 34;Colisión vehículo-vehículo;;;25/1/2017
13098;Av. Juan XXIII;Colisión vehículo-vehículo;-25;-65;26/1/2017
13098;Av. Juan XXIII;Colisión vehículo-vehículo;-25;-65;26/1/2017
13099;AVDA. LUNA;Colisión vehículo-objeto;;;28/1/2017
13099;AVDA. LUNA;Colisión vehículo-objeto;;;28/1/2017
13100;AV. SARMIENTO;Colisión vehículo-vehículo;-24;-64;29/1/2017
13100;AV. SARMIENTO;Colisión vehículo-vehículo;-24;-64;29/1/2017
13101;Mza 320 C Casa 17;Colisión vehículo-vehículo;-25;-65;31/1/2017
13101;Mza 320 C Casa 17;Colisión vehículo-vehículo;-25;-65;31/1/2017
13102;RUTA NACIONAL N° 50;Colisión vehículo-vehículo;;;5/1/2017
13102;RUTA NACIONAL N° 50;Colisión vehículo-vehículo;;;5/1/2017
13103;AV. SAN MARTIN;Otro;-25;-64;3/2/2017
13103;AV. SAN MARTIN;Otro;-25;-64;3/2/2017
