Titulo;Descripcion;Categoría;latitud;longitud;fecha del hecho;;;;;
1;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;5/1/2017;;;;;
2;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;5/1/2017;;;;;
3;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;27/1/2017;;;;;
4;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;27/1/2017;;;;;
5;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;27/1/2017;;;;;
6;Vuelco-Despistes;Accidente automovilistico;-39;-69;20/1/2017;;;;;
7;Vuelco-Despistes;Accidente automovilistico;-39;-69;20/1/2017;;;;;
8;Otro;Accidente automovilistico;-39;-69;24/1/2017;;;;;
9;Otro;Accidente automovilistico;-39;-69;24/1/2017;;;;;
10;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;5/1/2017;;;;;
11;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;5/1/2017;;;;;
12;Colisión vehículo-persona;Accidente automovilistico;-25;-65;2/1/2017;;;;;
13;Colisión vehículo-persona;Accidente automovilistico;-25;-65;2/1/2017;;;;;
14;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;10/1/2017;;;;;
15;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;10/1/2017;;;;;
16;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;15/1/2017;;;;;
17;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;15/1/2017;;;;;
18;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;16/1/2017;;;;;
19;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;16/1/2017;;;;;
20;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;16/1/2017;;;;;
21;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;16/1/2017;;;;;
22;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;16/1/2017;;;;;
23;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;20/1/2017;;;;;
24;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;20/1/2017;;;;;
25;Colisión vehículo-vehículo;Accidente automovilistico;-25;-64;23/1/2017;;;;;
26;Colisión vehículo-vehículo;Accidente automovilistico;-25;-64;23/1/2017;;;;;
27;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;26/1/2017;;;;;
28;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;26/1/2017;;;;;
29;Colisión vehículo-vehículo;Accidente automovilistico;-24;-64;29/1/2017;;;;;
30;Colisión vehículo-vehículo;Accidente automovilistico;-24;-64;29/1/2017;;;;;
31;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;31/1/2017;;;;;
32;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;31/1/2017;;;;;
33;Otro;Accidente automovilistico;-25;-64;3/2/2017;;;;;
34;Otro;Accidente automovilistico;-25;-64;3/2/2017;;;;;
35;Colisión vehículo-persona;Accidente automovilistico;-25;-65;6/2/2017;;;;;
36;Colisión vehículo-persona;Accidente automovilistico;-25;-65;6/2/2017;;;;;
37;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;10/2/2017;;;;;
38;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;10/2/2017;;;;;
39;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;11/2/2017;;;;;
40;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;11/2/2017;;;;;
41;Colisión vehículo-vehículo;Accidente automovilistico;-37;-69;15/1/2017;;;;;
42;Colisión vehículo-vehículo;Accidente automovilistico;-37;-69;15/1/2017;;;;;
43;Vuelco-Despistes;Accidente automovilistico;-39;-71;14/1/2017;;;;;
44;Vuelco-Despistes;Accidente automovilistico;-39;-71;14/1/2017;;;;;
45;Otro;Accidente automovilistico;-40;-71;31/1/2017;;;;;
46;Otro;Accidente automovilistico;-40;-71;31/1/2017;;;;;
47;Vuelco-Despistes;Accidente automovilistico;-40;-71;28/1/2017;;;;;
48;Vuelco-Despistes;Accidente automovilistico;-40;-71;28/1/2017;;;;;
49;Colisión vehículo-persona;Accidente automovilistico;-41;-72;19/1/2017;;;;;
50;Colisión vehículo-persona;Accidente automovilistico;-41;-72;19/1/2017;;;;;
51;Vuelco-Despistes;Accidente automovilistico;-39;-69;8/2/2017;;;;;
52;Vuelco-Despistes;Accidente automovilistico;-39;-69;8/2/2017;;;;;
53;Vuelco-Despistes;Accidente automovilistico;-39;-68;10/2/2017;;;;;
54;Otro;Accidente automovilistico;-38;-69;14/2/2017;;;;;
