Titulo;Descripcion;Categoria;latitud;longitud;fecha del hecho;provincia;hora
1;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;5/1/2017;Rio negro;21
2;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;5/1/2017;Buenos Aires;22
3;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;27/1/2017;Buenos Aires;23
4;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;27/1/2017;Buenos Aires;23
5;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;27/1/2017;Buenos Aires;23
6;Vuelco-Despistes;Accidente automovilistico;-39;-69;20/1/2017;Buenos Aires;23
7;Vuelco-Despistes;Accidente automovilistico;-39;-69;20/1/2017;Buenos Aires;23
8;Otro;Accidente automovilistico;-39;-69;24/1/2017;Buenos Aires;23
9;Otro;Accidente automovilistico;-39;-69;24/1/2017;Buenos Aires;23
10;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;5/1/2017;Buenos Aires;23
11;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;5/1/2017;Buenos Aires;23
12;Colision vehiculo-persona;Accidente automovilistico;-25;-65;2/1/2017;Buenos Aires;23
13;Colision vehiculo-persona;Accidente automovilistico;-25;-65;2/1/2017;Buenos Aires;23
14;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;10/1/2017;Buenos Aires;23
15;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;10/1/2017;Buenos Aires;23
16;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;15/1/2017;Buenos Aires;23
17;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;15/1/2017;Buenos Aires;23
18;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;16/1/2017;Buenos Aires;23
19;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;16/1/2017;Buenos Aires;23
20;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;16/1/2017;Buenos Aires;23
21;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;16/1/2017;Buenos Aires;23
22;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;16/1/2017;Buenos Aires;23
23;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;20/1/2017;Buenos Aires;23
24;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;20/1/2017;Buenos Aires;23
25;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-64;23/1/2017;Buenos Aires;23
26;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-64;23/1/2017;Buenos Aires;23
27;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;26/1/2017;Buenos Aires;23
28;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;26/1/2017;Buenos Aires;23
29;Colision vehiculo-vehiculo;Accidente automovilistico;-24;-64;29/1/2017;Buenos Aires;23
30;Colision vehiculo-vehiculo;Accidente automovilistico;-24;-64;29/1/2017;Buenos Aires;23
31;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;31/1/2017;Buenos Aires;23
32;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;31/1/2017;Buenos Aires;23
33;Otro;Accidente automovilistico;-25;-64;3/2/2017;Buenos Aires;23
34;Otro;Accidente automovilistico;-25;-64;3/2/2017;Buenos Aires;23
35;Colision vehiculo-persona;Accidente automovilistico;-25;-65;6/2/2017;Buenos Aires;23
36;Colision vehiculo-persona;Accidente automovilistico;-25;-65;6/2/2017;Buenos Aires;23
37;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;10/2/2017;Buenos Aires;23
38;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;10/2/2017;Buenos Aires;23
39;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;11/2/2017;Buenos Aires;23
40;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;11/2/2017;Buenos Aires;23
41;Colision vehiculo-vehiculo;Accidente automovilistico;-37;-69;15/1/2017;Buenos Aires;23
42;Colision vehiculo-vehiculo;Accidente automovilistico;-37;-69;15/1/2017;Buenos Aires;23
43;Vuelco-Despistes;Accidente automovilistico;-39;-71;14/1/2017;Buenos Aires;23
44;Vuelco-Despistes;Accidente automovilistico;-39;-71;14/1/2017;Buenos Aires;23
45;Otro;Accidente automovilistico;-40;-71;31/1/2017;Buenos Aires;23
46;Otro;Accidente automovilistico;-40;-71;31/1/2017;Buenos Aires;23
47;Vuelco-Despistes;Accidente automovilistico;-40;-71;28/1/2017;Buenos Aires;23
48;Vuelco-Despistes;Accidente automovilistico;-40;-71;28/1/2017;Buenos Aires;23
49;Colision vehiculo-persona;Accidente automovilistico;-41;-72;19/1/2017;Buenos Aires;23
50;Colision vehiculo-persona;Accidente automovilistico;-41;-72;19/1/2017;Buenos Aires;23
51;Vuelco-Despistes;Accidente automovilistico;-39;-69;8/2/2017;Buenos Aires;23
52;Vuelco-Despistes;Accidente automovilistico;-39;-69;8/2/2017;Buenos Aires;23
53;Vuelco-Despistes;Accidente automovilistico;-39;-68;10/2/2017;Buenos Aires;23
54;Otro;Accidente automovilistico;-38;-69;14/2/2017;Buenos Aires;23
55;Otro;Accidente automovilistico;-38;-69;14/2/2017;Buenos Aires;23
56;Vuelco-Despistes;Accidente automovilistico;-40;-71;15/2/2017;Buenos Aires;23
57;Colision vehiculo-persona;Accidente automovilistico;-40;-71;19/2/2017;Buenos Aires;23
58;Colision vehiculo-persona;Accidente automovilistico;-40;-71;19/2/2017;Buenos Aires;23
59;Vuelco-Despistes;Accidente automovilistico;-39;-68;4/3/2017;Buenos Aires;23
60;Vuelco-Despistes;Accidente automovilistico;-39;-68;4/3/2017;Buenos Aires;23
61;Vuelco-Despistes;Accidente automovilistico;-39;-68;5/3/2017;Buenos Aires;23
62;Vuelco-Despistes;Accidente automovilistico;-39;-69;17/3/2017;Buenos Aires;23
63;Colision vehiculo-persona;Accidente automovilistico;-39;-69;7/3/2017;Buenos Aires;23
64;Colision vehiculo-persona;Accidente automovilistico;-39;-69;7/3/2017;Buenos Aires;23
65;Vuelco-Despistes;Accidente automovilistico;-40;-70;23/3/2017;Buenos Aires;23
66;Colision vehiculo-persona;Accidente automovilistico;-40;-71;17/3/2017;Buenos Aires;23
67;Colision vehiculo-persona;Accidente automovilistico;-40;-71;17/3/2017;Buenos Aires;23
68;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;18/2/2017;Buenos Aires;23
69;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;18/2/2017;Buenos Aires;23
70;Vuelco-Despistes;Accidente automovilistico;-23;-64;19/2/2017;Buenos Aires;23
71;Vuelco-Despistes;Accidente automovilistico;-23;-64;19/2/2017;Buenos Aires;23
72;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-66;20/2/2017;Buenos Aires;23
73;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-66;20/2/2017;Buenos Aires;23
74;Vuelco-Despistes;Accidente automovilistico;-26;-65;19/2/2017;Buenos Aires;23
75;Vuelco-Despistes;Accidente automovilistico;-26;-65;19/2/2017;Buenos Aires;23
76;Vuelco-Despistes;Accidente automovilistico;-26;-65;19/2/2017;Buenos Aires;23
77;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;20/2/2017;Buenos Aires;23
